"mineral name","point group","space group"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite","2/m","C2/m"
"Albite","2/m","C2/m"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albrechtschraufite",1,"P1"
"Alburnite","43m","F43m"
"Alcantarillaite","2/m2/m2/m","Imma"
"Alcantarillaite","2/m2/m2/m","Imma"
"Alcaparrosaite","2/m","C2/c"
"Alcaparrosaite","2/m","C2/c"
"Aldermanite"," "," "
"Aldomarinoite","2/m","P21/m"
"Aldridgeite","2/m","C2/c"
"Aleksandrovite","2/m","C2/c"
"Aleksite","32/m2/m","P3m1"
"Aleutite","2/m","C2/m"
"Alexkhomyakovite","6/m2/m2/m","P63/mcm"
"Alexkuznetsovite-(Ce)","2/m","P21/c"
"Alexkuznetsovite-(La)","2/m","P21/c"
"Alflarsenite",2,"P21"
"Alflarsenite",2,"P21"
"Alforsite","6/m","P63/m"
"Alforsite"," "," "
"Alforsite","6/m","P63/m"
"Alfredopetrovite","62m","P62c"
"Alfredopetrovite"," "," "
"Alfredopetrovite","62m","P62c"
"Alfredopetrovite","62m","P62c"
"Alfredstelznerite","2mm","Pca21"
"Algodonite","6/m2/m2/m","P63/mmc"
"Algodonite","6/m2/m2/m","P63/mmc"
"Alicewilsonite-(YCe)",1,"P1"
"Alicewilsonite-(YLa)",1,"P1"
"Allabogdanite","2/m2/m2/m","Pnma"
"Allabogdanite"," "," "
"Allabogdanite","2/m2/m2/m","Pnma"
"Allactite"," "," "
"Allactite"," "," "
"Allactite","2/m","P21/a"
"Allanite-(Ce)","2/m","P21/m"
"Allanite-(Ce)","2/m","P21/m"
"Allanite-(Ce)","2/m","P21/m"
"Allanite-(Ce)","2/m","P21/m"
"Allanite-(Ce)","2/m","P21/m"
"Allanite-(Ce)","2/m","P21/m"
"Allanite-(Ce)","2/m","P21/m"
"Allanite-(Ce)","2/m","P21/m"
