,mineral name,point group,space group
11078,Katoite,4/m32/m,Ia3d
11089,Katoite,43m,I43d
11105,Katophorite,2/m,C2/m
11112,Katoptrite,2/m,C2/m
11113,Katsarosite,2/m,C2/c
11114,Kawazulite,32/m2/m,R3m
11115,Kayrobertsonite,1,P1
11118,Kazakovite,32/m2/m,R3m
11120,Kazanskyite,1,P1
11121,Kaznakhtite,3,R3
11122,Keckite,2/m,P21/a
11127,Kegginite,3,P3
11128,Keilite,4/m32/m,Fm3m
11130,Keithconnite,3,R3
11132,Keiviite-(Y),2/m,C2/m
11133,Keiviite-(Yb),2/m,A2/m
11134,Keiviite-(Yb),2/m,C2/m
11135,Keldyshite,1,P1
11138,Kelyanite,3,P3
11141,Kenhsuite,2mm,A2mm
11143,Kenhsuite,2/m2/m2/m,Pbmm
11144,Kenngottite,2/m,P2/a
11146,Kenoargentotennantite-(Fe),43m,I43m
11148,Kenoargentotetrahedrite-(Fe),43m,I43m
11149,Kenoargentotetrahedrite-(Zn),43m,I43m
11150,Kenoplumbomicrolite,4/m32/m,Fd3m
11152,Kenorozhdestvenskayaite-(Fe),43m,I43m
11153,Kenotobermorite,2mm,F2dd
11154,Kenotobermorite,m,Bm
11158,Kentbrooksite,3,R3
11159,Kentbrooksite,3mm,R3m
11166,Kentrolite,2/m2/m2/m,Pbcn
11167,Kentrolite,222,P21221
11169,Keplerite,3mm,R3c
11170,Kerimasite,4/m32/m,Ia3d
11173,Kermesite,1,F1
11174,Kermesite,1,P1
11176,Kernite,2/m,P21/c
11178,Kernowite,2/m,I2/a
11179,Kesebolite-(Ce),2/m,P21/c
11181,Kesterite,4,I4
11182,Kesterite,42m,I42m
11186,Kettnerite,2/m2/m2/m,Pmmn
11187,Kettnerite,2/m2/m2/m,Pbaa
11188,Keutschite,42m,I42m
11191,Keyite,2/m,I2/a
11192,Keystoneite,6/m,P63/m
11194,Keystoneite,6,P63
11195,Khademite,2/m2/m2/m,Pcab
11197,Khaidarkanite,2/m,C2/m
11199,Khamrabaevite,4/m32/m,Fm3m
11201,Khanneshite,6mm,P63mc
11202,Kharaelakhite,2/m2/m2/m,Pmmm
11203,Khatyrkite,4/m2/m2/m,I4/mcm
11204,Khesinite,1,P1
11205,Khibinskite,2/m,P21/b
11207,Khinite,2mm,Fdd2
11208,Khinite,3,P32
11209,Khmaralite,2/m,P21/c
11210,Khomyakovite,3mm,R3m
11211,Khorixasite,2/m,P2/m
11212,Khrenovite,2/m,C2/c
11213,Khristovite-(Ce),2/m,P21/m
11214,Khurayyimite,2/m,P21/c
11215,Khvorovite,1,P1
11218,Kidwellite,2/m,P2/c
11219,Kieftite,332/m,Im3
11222,Kieserite,2/m,C2/c
11235,Kihlmanite-(Ce),1,P1
11237,Kilchoanite,2mm,I2cm
11240,Killalaite,2/m,P21/m
11245,Kimzeyite,4/m32/m,Ia3d
11248,Kingite,1,P1
11250,Kingsgateite,4mm,I41cd
11251,Kingsmountite,2,C2
11252,Kingsmountite,1,P1
11253,Kingstonite,2/m,C2/m
11254,Kinichilite,6/m,P63/m
11257,Kinoite,2/m,P21/m
11259,Kinoshitalite,2/m,C2/m
11262,Kintoreite,32/m2/m,R3m
11265,Kipushite,2/m,P21/c
11266,Kircherite,322,R32
