mineral name,point group,space group
Bonattite,m,Cc
Bonazziite,2/m,C2/c
Bonshtedtite,2/m,P21/m
Boothite,2/m,P21/c
Boracite,2mm; 43m,Pca21; F43c
Boralsilite,2/m,C2/m
Borax,2/m,C2/c
Borcarite,2/m; 2/m,C2/m; A2/m
Borisenkoite,2/m,P21/c
Bornemanite,1; m,P1; Ib
Bornite,332; 4/m32/m; 43m; 3mm; 2/m2/m2/m,F23; Fm3m; F43m; R3m; Pbca
Borocookeite,m,Cc
Borodaevite,2/m,C2/m
Boromullite,2mm,Cmc21
Boromuscovite,2/m; 2/m,C2/c; C2/m
Bortnikovite,4/m2/m2/m,P4/mmm
Bortolanite,1,P1
Boscardinite,1,P1
Bosiite,3mm,R3m
Bosoite,6/m2/m2/m,P6/mmm
Botallackite,2/m,P21/m
Botryogen,2/m,P21/n
Bottinoite,3,P3
Botuobinskite,3,R3
Bouazzerite,2/m,P21/n
Boulangerite,2/m2/m2/m; 2/m2/m2/m; 2mm; 2/m,Pbnm; Pnam; Bb21m; P21/a
Bounahasite,2/m,P21/n
Bournonite,2mm,Pn21m
Bouskaite,1,P1
Boussingaultite,2/m,P21/a
Bowieite,2/m2/m2/m; 2/m2/m2/m,Pnca; Pbcn
Bowlesite,2mm,Pca21
Boyleite,2/m,P21/n
Braccoite,1,P1
Bracewellite,2/m2/m2/m,Pbnm
Brackebuschite,2/m; 2/m,P21/m; B21/m
Bradaczekite,2/m,C2/c
Bradleyite,2/m,P21/m
Braggite,4/m,P42/m
Braithwaiteite,1,P1
Braitschite-(Ce),6/m,P6/m
Brandaoite,1,P1
Brandholzite,3; 32/m2/m,P3; P31m
Brandtite,2/m,P21/c
Brannerite,2/m,C2/m
Brannockite,6/m2/m2/m,P6/mcc
Brassite,2/m2/m2/m,Pbca
Braunerite,2/m,P21/c
Braunite,4/m2/m2/m,I41/acd
Brazilianite,2/m,P21/n
Bredigite,2mm,P2nn
Breithauptite,6mm; 6/m2/m2/m,P63mc; P63/mmc
Brendelite,2/m,C2/m
Brenkite,2/m2/m2/m,Pbcn
Brewsterite-Ba,1; 2/m,P1; P21/m
Brewsterite-Sr,1; 2/m,P1; P21/m
Breyite,1,P1
Brezinaite,2/m,I2/m
Brianite,222; 2/m; 2/m,P222; P21/a; P21/c
Brianroulstonite,m,Pa
Briartite,42m,I42m
Bridgesite-(Ce),2/m,C2/m
Bridgmanite,2/m2/m2/m; 2/m2/m2/m,Pnma; Pbnm
Britholite-(Ce),6; 2,P63; P21
Britholite-(Y),2,P21
Britvinite,1,P1
Brizziite,3,R3
Brochantite,2/m; 2/m,P21/a; P21/n
Brockite,622,P6222
Brodtkorbite,2/m,P21/n
Bromargyrite,4/m32/m,Fm3m
Bromellite,6mm,P63mc
Brontesite,2/m2/m2/m,Pnma
Brookite,2/m2/m2/m,Pbca
Browneite,43m,F43m
Brownleeite,332,P213
Brownmillerite,2mm; 2mm,I2mb; Ibm2
Brucite,32/m2/m; 3,P3m1; P3
Bruggenite,2/m,P21/c
Brunogeierite,4/m32/m,Fd3m
Brushite,m,Ia
Bubnovaite,3mm,P31c
Buchwaldite,2mm; 2mm,Pmn21; Pn21a
Buckhornite,2/m2/m2/m,Pmmn
Buddingtonite,2/m,C2/m
Bukovite,4/m2/m2/m,I4/mmm
Bukovskyite,1,P1
Bulachite,2/m2/m2/m,Pnma
Bulgakite,1,P1
Bultfonteinite,1,P1
Bunnoite,1,P1
Bunsenite,4/m32/m,Fm3m
Burangaite,2/m,C2/c
Burbankite,6/m2/m2/m; 6mm,P63/mmc; P63mc
Burckhardtite,32/m2/m,P31m
Burgessite,222; 2/m,P2122; P21/n
Burkeite,2/m2/m2/m,Pmnm
Burnettite,2/m,C2/c
Burnsite,6/m2/m2/m,P63/mmc
Burovaite-Ca,2/m,C2/m
Burpalite,2/m,P21/a
Burroite,1,P1
Burtite,332/m,Pn3
Buryatite,3mm,P31c
Buseckite,6mm,P63mc
Bushmakinite,2/m,P21/m
Bussenite,1,P1
Bussyite-(Ce),2/m,C2/c
Bussyite-(Y),2,C2
Bustamite,1; 1,F1; I1
Butianite,4/m2/m2/m,I4/mmm
Butlerite,2/m,P21/m
Butschliite,32/m2/m,R3m
Buttgenbachite,6/m2/m2/m,P63/mmc
Byelorussite-(Ce),222; 2mm,P212121; Ama2
Bykovaite,2/m; m,P2/m; Pb
Byrudite,2/m2/m2/m,Pnma
Bystrite,3mm,P31c
Bystromite,4/m2/m2/m,P42/mnm
